i: 2, j: 1, time: 27
i: 3, j: 3, time: 7
i: 2, j: 1, time: 27
i: 6, j: 0, time: 7
i: 2, j: 2, time: 7
i: 0, j: 2, time: 37
i: 1, j: 1, time: 7
i: 2, j: 2, time: 7
i: 0, j: 2, time: 36
i: 0, j: 0, time: 36
i: 0, j: 2, time: 24
i: 0, j: 3, time: 33
i: 0, j: 3, time: 27
i: 1, j: 1, time: 36
i: 1, j: 1, time: 24
i: 2, j: 1, time: 33
i: 2, j: 1, time: 27
i: 2, j: 2, time: 24
i: 0, j: 2, time: 14
i: 2, j: 1, time: 23
i: 1, j: 2, time: 14
i: 4, j: 2, time: 20
i: 4, j: 2, time: 14
i: 0, j: 2, time: 20
i: 4, j: 1, time: 17
i: 0, j: 3, time: 17
i: 2, j: 2, time: 24
i: 3, j: 1, time: 24
i: 3, j: 3, time: 14
i: 0, j: 1, time: 14
i: 4, j: 2, time: 14
i: 0, j: 2, time: 14
i: 3, j: 0, time: 20
i: 3, j: 3, time: 8
i: 4, j: 1, time: 11
i: 2, j: 1, time: 17
i: 1, j: 1, time: 8
i: 1, j: 2, time: 14
i: 3, j: 0, time: 0
i: 3, j: 3, time: 0
i: 4, j: 1, time: 3
i: 2, j: 1, time: 9
i: 1, j: 1, time: 0
i: 3, j: 3, time: 24
i: 3, j: 1, time: 30
i: 3, j: 3, time: 0
i: 3, j: 0, time: 12
i: 4, j: 2, time: 24
i: 2, j: 2, time: 30
i: 4, j: 2, time: 0
i: 1, j: 2, time: 12
i: 4, j: 1, time: 20
i: 4, j: 1, time: 4
i: 4, j: 2, time: 16
i: 4, j: 2, time: 8
i: 5, j: 0, time: 4
i: 3, j: 0, time: 16
i: 3, j: 2, time: 4
i: 6, j: 0, time: 16
i: 6, j: 0, time: 8
i: 2, j: 0, time: 8
i: 2, j: 1, time: 20
i: 2, j: 1, time: 14
i: 2, j: 2, time: 26
i: 2, j: 2, time: 14
i: 3, j: 0, time: 26
i: 1, j: 0, time: 26
i: 3, j: 0, time: 2
i: 3, j: 2, time: 2
i: 1, j: 2, time: 14
i: 4, j: 0, time: 2
i: 0, j: 0, time: 32
i: 4, j: 1, time: 14
i: 0, j: 1, time: 20
i: 3, j: 2, time: 2
